name,ttm,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009
TotalRevenue,"9,195,150,000","1,383,163,000","2,388,582,000","3,495,805,000","1,927,600,000","1,143,493,000","1,687,896,000","1,565,380,000","1,437,401,000","880,178,000","983,909,000","926,806,000","-103,147,000","583,658,000","806,801,000","604,884,000","257,645,000","445,953,000","464,408,000","556,139,000","615,668,000","561,029,000","472,929,000","423,835,000","568,451,000","317,615,000","291,193,000","482,597,000","675,865,000","342,698,000","470,995,000","417,637,000","444,288,000","314,187,000","395,602,000","369,128,000","364,133,000","268,662,000","317,296,000","269,425,000","337,421,000","268,251,000","226,785,000","324,814,000","323,577,000","275,682,000","210,104,000","196,277,000","414,217,000","147,958,000","146,683,000","179,851,000","150,444,000","135,142,000","146,687,000","164,706,000"
	OperatingRevenue,"9,195,150,000","1,383,163,000","2,388,582,000","3,495,805,000","1,927,600,000","1,143,493,000","1,687,896,000","1,565,380,000","1,437,401,000","880,178,000","983,909,000","926,806,000","-103,147,000","583,658,000","806,801,000","604,884,000","257,645,000","445,953,000","464,408,000","556,139,000","615,668,000","561,029,000","472,929,000","423,835,000","568,451,000","317,615,000","291,193,000","482,597,000","675,865,000","342,698,000","470,995,000","417,637,000","444,288,000","314,187,000","395,602,000","369,128,000","364,133,000","268,662,000","317,296,000","269,425,000","337,421,000","268,251,000","226,785,000","324,814,000","323,577,000","275,682,000","210,104,000","196,277,000","414,217,000","147,958,000","146,683,000","179,851,000","150,444,000","135,142,000","146,687,000","164,706,000"
CostOfRevenue,"6,071,336,000","1,215,934,000","1,460,217,000","2,017,128,000","1,378,058,000","934,982,000","895,667,000","868,018,000","872,611,000","734,459,000","596,454,000","599,258,000","-322,682,000","625,332,000","412,246,000","353,113,000","68,172,000","293,953,000","162,981,000","241,679,000","559,510,000","405,473,000","303,451,000","274,171,000","424,833,000","277,417,000","363,402,000","347,529,000","465,867,000","255,053,000","365,185,000","242,355,000","327,760,000","260,887,000","343,159,000","234,284,000","302,247,000","212,791,000","220,612,000","184,584,000","225,679,000","195,252,000","223,180,000","220,845,000","234,391,000","148,044,000","135,876,000","121,541,000","284,446,000","121,631,000","145,035,000","139,687,000","119,268,000","152,406,000","123,245,000","89,630,000"
GrossProfit,"3,123,814,000","167,229,000","928,365,000","1,478,677,000","549,542,000","208,511,000","792,229,000","697,362,000","564,790,000","145,719,000","387,455,000","327,548,000","219,535,000","-41,674,000","394,555,000","251,771,000","189,473,000","152,000,000","301,427,000","314,460,000","56,158,000","155,556,000","169,478,000","149,664,000","143,618,000","40,198,000","-72,209,000","135,068,000","209,998,000","87,645,000","105,810,000","175,282,000","116,528,000","53,300,000","52,443,000","134,844,000","61,886,000","55,871,000","96,684,000","84,841,000","111,742,000","72,999,000","3,605,000","103,969,000","89,186,000","127,638,000","74,228,000","74,736,000","129,771,000","26,327,000","1,648,000","40,164,000","31,176,000","-17,264,000","23,442,000","75,076,000"
OperatingExpense,"526,436,000","118,946,000","110,693,000","156,036,000","140,760,000","14,226,000","72,338,000","92,125,000","103,353,000","51,797,000","63,409,000","70,811,000","65,190,000","47,648,000","45,765,000","65,869,000","64,958,000","45,743,000","36,844,000","47,019,000","65,290,000","41,461,000","31,484,000","37,725,000","20,907,000","38,617,000","31,421,000","45,209,000","48,101,000","31,833,000","31,119,000","36,570,000","50,644,000","34,460,000","27,137,000","30,046,000","34,142,000","24,943,000","24,588,000","27,134,000","34,168,000","24,620,000","21,145,000","28,733,000","37,801,000","27,093,000","21,410,000","22,604,000","56,583,000","2,313,000","13,286,000","17,232,000","22,497,000","21,976,000","17,533,000","16,402,000"
	SellingGeneralAndAdministration,"384,894,000","95,954,000","111,908,000","91,463,000","36,378,000","93,635,000","42,243,000","86,506,000","79,679,000","27,059,000","42,031,000","64,913,000","68,678,000","37,225,000","28,798,000","63,667,000","60,166,000","26,358,000","22,511,000","26,694,000","73,703,000","23,270,000","16,333,000","23,955,000","40,967,000","26,901,000","20,412,000","27,295,000","48,613,000","20,671,000","19,350,000","26,092,000","47,008,000","23,767,000","17,510,000","19,401,000","31,292,000","14,472,000","18,024,000","18,955,000","6,124,000","23,997,000","23,058,000","29,358,000","39,801,000","28,351,000","18,702,000","21,821,000","37,375,000","22,014,000","13,927,000","18,450,000","27,019,000","21,198,000","18,730,000","17,056,000"
		GeneralAndAdministrativeExpense,"57,192,000","30,836,000","15,970,000","13,823,000","-52,627,000","55,321,000","9,187,000","33,127,000","6,535,000","3,513,000","4,824,000","23,140,000","4,246,000","5,041,000","3,905,000","30,722,000","4,369,000","4,135,000","3,855,000","2,650,000","31,739,000","3,507,000","2,835,000","7,154,000","5,372,000","3,227,000","2,500,000","4,940,000","10,947,000","2,875,000","2,309,000","4,857,000","9,453,000","3,120,000","2,814,000","5,352,000","10,311,000","2,647,000","2,440,000","1,946,000","-19,023,000","9,420,000","9,655,000","13,416,000","19,331,000","17,294,000","11,800,000","13,485,000","14,935,000","8,636,000","6,978,000","6,742,000","11,931,000","9,202,000","9,612,000","7,942,000"
			RentAndLandingFees,"5,014,000","1,834,000","-25,000","2,079,000","1,126,000","547,000","529,000",,"466,000","316,000","257,000","13,888,000","191,000","262,000","160,000","8,586,000","207,000","211,000","192,000","206,000","208,000","213,000","236,000","172,000","198,000","259,000","238,000","198,000","212,000","282,000","235,000","227,000","226,000","178,000","155,000","136,000","158,000","139,000","147,000","130,000",,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"327,702,000","65,118,000","95,938,000","77,640,000","89,005,000","38,314,000","33,056,000","53,379,000","73,144,000","23,546,000","37,207,000","41,773,000","64,432,000","32,184,000","24,893,000","32,945,000","55,797,000","22,223,000","18,656,000","24,044,000","41,964,000","19,763,000","13,498,000","16,801,000","35,595,000","23,674,000","17,912,000","22,355,000","37,666,000","17,796,000","17,041,000","21,235,000","37,555,000","20,647,000","14,696,000","14,049,000","20,981,000","11,825,000","15,584,000","17,009,000","25,147,000","14,577,000","13,403,000","15,942,000","20,470,000","11,057,000","6,902,000","8,336,000","22,440,000","13,378,000","6,949,000","11,708,000","15,088,000","11,996,000","9,118,000","9,114,000"
	OtherOperatingExpenses,"103,092,000","4,860,000","29,220,000","31,364,000","91,275,000","4,700,000","25,441,000","7,465,000","1,459,000","12,898,000","11,275,000","3,101,000","-284,000","8,282,000","11,632,000","5,357,000","-12,164,000","14,620,000","8,489,000","8,403,000","-12,868,000","8,960,000","7,929,000","3,319,000","-7,081,000","3,157,000","1,617,000","4,984,000","-6,884,000","2,539,000","3,738,000","1,578,000","-3,010,000","2,826,000","2,904,000","1,723,000","-3,905,000","3,941,000","2,033,000","1,979,000","3,645,000","1,026,000","1,285,000","-625,000","-2,000,000","-1,258,000","2,708,000","783,000","21,431,000","-20,620,000","-641,000","-1,218,000","-1,252,000","-124,000","-1,197,000","-654,000"
