businessDate,transactionTime,rate,productCode,securityId,productDescription
10-01-2020,10-01-2020:10:00:47,0.0685,TR6,623206,6-MTH SOFR SYNTH FUT
10-01-2020,10-01-2020:10:00:47,0.0728,TR3,663077,3-MTH SOFR SYNTH FUT
10-01-2020,10-01-2020:10:00:47,0.0729,TR1,401927,1-MTH SOFR SYNTH FUT
10-01-2020,10-01-2020:10:00:47,0.05943,TY1,729303,12MTH SOFR SYNTH FUT
10-02-2020,10-02-2020:10:00:38,0.0679,TR6,623206,6-MTH SOFR SYNTH FUT
10-02-2020,10-02-2020:10:00:38,0.0717,TR3,663077,3-MTH SOFR SYNTH FUT
10-02-2020,10-02-2020:10:00:38,0.0711,TR1,401927,1-MTH SOFR SYNTH FUT
10-02-2020,10-02-2020:10:00:38,0.05933,TY1,729303,12MTH SOFR SYNTH FUT
10-05-2020,10-05-2020:10:00:00,0.0684,TR6,623206,6-MTH SOFR SYNTH FUT
10-05-2020,10-05-2020:10:00:00,0.0725,TR3,663077,3-MTH SOFR SYNTH FUT
10-05-2020,10-05-2020:10:00:00,0.073,TR1,401927,1-MTH SOFR SYNTH FUT
10-05-2020,10-05-2020:10:00:00,0.06063,TY1,729303,12MTH SOFR SYNTH FUT
10-06-2020,10-06-2020:10:00:33,0.0701,TR6,623206,6-MTH SOFR SYNTH FUT
10-06-2020,10-06-2020:10:00:33,0.074,TR3,663077,3-MTH SOFR SYNTH FUT
10-06-2020,10-06-2020:10:00:33,0.0755,TR1,401927,1-MTH SOFR SYNTH FUT
10-06-2020,10-06-2020:10:00:33,0.06122,TY1,729303,12MTH SOFR SYNTH FUT
10-07-2020,10-07-2020:10:00:00,0.0706,TR6,623206,6-MTH SOFR SYNTH FUT
10-07-2020,10-07-2020:10:00:00,0.0749,TR3,663077,3-MTH SOFR SYNTH FUT
10-07-2020,10-07-2020:10:00:00,0.0763,TR1,401927,1-MTH SOFR SYNTH FUT
10-07-2020,10-07-2020:10:00:00,0.06203,TY1,729303,12MTH SOFR SYNTH FUT
10-08-2020,10-08-2020:10:00:35,0.0717,TR6,623206,6-MTH SOFR SYNTH FUT
10-08-2020,10-08-2020:10:00:35,0.0757,TR3,663077,3-MTH SOFR SYNTH FUT
10-08-2020,10-08-2020:10:00:35,0.0759,TR1,401927,1-MTH SOFR SYNTH FUT
10-08-2020,10-08-2020:10:00:35,0.06605,TY1,729303,12MTH SOFR SYNTH FUT
10-09-2020,10-09-2020:10:00:00,0.072,TR6,623206,6-MTH SOFR SYNTH FUT
10-09-2020,10-09-2020:10:00:00,0.076,TR3,663077,3-MTH SOFR SYNTH FUT
10-09-2020,10-09-2020:10:00:00,0.0741,TR1,401927,1-MTH SOFR SYNTH FUT
10-09-2020,10-09-2020:10:00:00,0.06731,TY1,729303,12MTH SOFR SYNTH FUT
10-13-2020,10-13-2020:10:00:00,0.0724,TR6,623206,6-MTH SOFR SYNTH FUT
10-13-2020,10-13-2020:10:00:00,0.0758,TR3,663077,3-MTH SOFR SYNTH FUT
10-13-2020,10-13-2020:10:00:00,0.0739,TR1,401927,1-MTH SOFR SYNTH FUT
10-13-2020,10-13-2020:10:00:00,0.06506,TY1,729303,12MTH SOFR SYNTH FUT
10-14-2020,10-14-2020:10:00:00,0.0722,TR6,623206,6-MTH SOFR SYNTH FUT
10-14-2020,10-14-2020:10:00:00,0.0771,TR3,663077,3-MTH SOFR SYNTH FUT
10-14-2020,10-14-2020:10:00:00,0.0753,TR1,401927,1-MTH SOFR SYNTH FUT
10-14-2020,10-14-2020:10:00:00,0.06598,TY1,729303,12MTH SOFR SYNTH FUT
10-15-2020,10-15-2020:10:00:00,0.0733,TR6,623206,6-MTH SOFR SYNTH FUT
10-15-2020,10-15-2020:10:00:00,0.0783,TR3,663077,3-MTH SOFR SYNTH FUT
10-15-2020,10-15-2020:10:00:00,0.0795,TR1,401927,1-MTH SOFR SYNTH FUT
10-15-2020,10-15-2020:10:00:00,0.07053,TY1,729303,12MTH SOFR SYNTH FUT
10-16-2020,10-16-2020:10:00:41,0.0751,TR6,623206,6-MTH SOFR SYNTH FUT
10-16-2020,10-16-2020:10:00:41,0.0804,TR3,663077,3-MTH SOFR SYNTH FUT
10-16-2020,10-16-2020:10:00:41,0.081,TR1,401927,1-MTH SOFR SYNTH FUT
10-16-2020,10-16-2020:10:00:41,0.07135,TY1,729303,12MTH SOFR SYNTH FUT
10-19-2020,10-19-2020:10:00:41,0.0776,TR6,623206,6-MTH SOFR SYNTH FUT
10-19-2020,10-19-2020:10:00:41,0.0826,TR3,663077,3-MTH SOFR SYNTH FUT
10-19-2020,10-19-2020:10:00:41,0.0825,TR1,401927,1-MTH SOFR SYNTH FUT
